brand,model,model_year,engine,transmission,int_col,accident,price
Ford,F-250 King Ranch,2015,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,–,None reported,39950
Porsche,911 Turbo S,2019,580.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Beige,None reported,174900
BMW,M2 Competition,2020,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,55000
BMW,328 i xDrive,2016,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,19500
Ford,Expedition Limited,2018,3.5 Liter GTDI,Automatic,Ebony,None reported,34998
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,15500
GMC,Yukon SLT,2018,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,35899
BMW,330e iPerformance,2018,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,None reported,24995
Ford,Explorer Limited,2022,318.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Black,None reported,46000
Chrysler,Pacifica Launch Edition,2020,287.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,None reported,36800
Tesla,Model 3 Long Range,2019,425.0HP Electric Motor Electric Fuel System,A/T,Black,None reported,38200
Buick,Enclave Leather,2015,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,At least 1 accident or damage reported,18950
Jeep,Wrangler Sport,2012,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,22500
Audi,A4 2.0T Premium Plus,2015,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,A/T,Black,At least 1 accident or damage reported,17200
Kia,Optima EX,2019,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",Automatic,Black,None reported,20818
Subaru,Impreza WRX Base,2013,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,At least 1 accident or damage reported,16000
Volkswagen,Touareg TDI Lux,2015,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,Black,None reported,35000
Cadillac,Escalade Platinum,2020,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,61500
Land,Rover Range Rover Sport HSE,2007,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,5750
INFINITI,QX80 SENSORY,2022,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Brown,At least 1 accident or damage reported,64000
BMW,Z4 3.0si,2008,255.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,18200
Ford,F-250 XLT Super Duty,2001,260.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,7500
BMW,X5 xDrive35i,2017,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,At least 1 accident or damage reported,23300
Nissan,Xterra S,2012,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,14800
Chevrolet,Silverado 2500 LT,2016,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,None reported,36800
Mercedes-Benz,GL-Class GL 450,2011,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,11900
Chevrolet,Trailblazer LT,2021,1.2L I3 12V GDI DOHC Turbo,Automatic CVT,Jet Black,None reported,23995
Mercedes-Benz,AMG GLS 63 4MATIC,2023,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Beige,None reported,175000
MINI,Convertible John Cooper Works,2017,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,At least 1 accident or damage reported,29000
Jeep,Compass Sport,2010,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,4500
Toyota,86 860 Special Edition,2017,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,20000
Dodge,Charger SRT Hellcat Widebody,2023,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,110000
Volkswagen,Atlas 3.6L SEL Premium R-Line,2022,276.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,46900
Audi,S4 3.0 Prestige,2012,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,31000
Jeep,Grand Cherokee Laredo,2012,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,Gray,At least 1 accident or damage reported,13000
Honda,Civic Sport,2020,2.0L I4 16V MPFI DOHC,Automatic CVT,Black,At least 1 accident or damage reported,23739
Lincoln,Aviator Reserve AWD,2022,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Brown,None reported,62000
Toyota,4Runner Sport,2004,245.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,8550
Rivian,R1S Launch Edition,2023,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,None reported,92500
Mercedes-Benz,E-Class E 350 4MATIC,2014,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,18995
INFINITI,Q60 3.0T Premium,2017,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,At least 1 accident or damage reported,17500
Pontiac,Solstice Base,2007,177.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,None reported,12900
Land,Rover Range Rover Sport First Edition,2023,4.4 Liter,Automatic,Black,None reported,143998
Porsche,Macan S,2022,375.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Beige,None reported,68500
Audi,Q5 Premium,2023,2.0 Liter TFSI,Automatic,–,None reported,42998
Hyundai,Tucson Limited,2008,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,None reported,3850
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,None reported,43500
GMC,Sierra 1500 Limited Elevation,2022,310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,49900
Ford,Bronco,2021,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black Onyx,None reported,56900
Ford,Expedition Max Limited,2022,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,65900
Cadillac,CTS-V Base,2006,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,15000
Jeep,Liberty Limited,2010,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,5900
Mercedes-Benz,S-Class S 550,2016,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,34500
Dodge,Dakota Sport,2002,175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Gray,At least 1 accident or damage reported,5500
Cadillac,Escalade Premium Luxury,2017,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,At least 1 accident or damage reported,49900
Audi,R8 Base,2008,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,63000
Hummer,H2 Base,2005,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,None reported,22500
Ford,Mustang Shelby GT500,2013,650.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,66400
Kia,Niro Plug-In Hybrid EX,2023,180.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Black,None reported,31500
Ford,Focus RS Base,2017,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,37000
Porsche,Boxster S,2005,280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,None reported,24900
Toyota,Supra A91-MT Edition,2023,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,None reported,84900
Audi,A4 2.0T Premium,2012,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,10500
Audi,SQ5 3.0T Prestige,2019,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,43500
Mercedes-Benz,G-Class G 550 4MATIC,2016,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,73000
Ford,Escape SE,2015,173.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,None reported,16250
Ford,F-250 Lariat,2017,6.2L V8 16V MPFI SOHC Flexible Fuel,6-Speed Automatic,Camel,,45985
Chevrolet,Colorado ZR2,2019,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,34700
Jeep,Grand Wagoneer Series III,2022,471.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,83000
Tesla,Model 3 Standard Range Plus,2021,271.0HP Electric Motor Electric Fuel System,A/T,Black,None reported,31000
Chevrolet,Express 2500 Work Van,2012,324.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,None reported,11800
Kia,Optima EX,2012,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,None reported,10900
Lexus,ES 350 Base,2016,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,None reported,25500
Chevrolet,Colorado ZR2,2021,3.6L V6 24V GDI DOHC,Automatic,Jet Black,None reported,44791
Maserati,Ghibli S Q4 GranSport,2020,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Nero,None reported,52645
Subaru,Crosstrek 2.0i Limited,2018,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,None reported,21499
Audi,RS 7 4.0T Prestige,2016,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Brown,None reported,50000
Mazda,Mazda6 i Grand Touring,2016,–,A/T,White,None reported,17800
Audi,Q8 55 Premium,2020,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Brown,None reported,52500
Lexus,GX 470 Base,2005,270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,At least 1 accident or damage reported,15500
Ford,Mustang Mach-E Premium,2022,346.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,None reported,42500
Audi,RS 7 4.0T,2022,591.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,None reported,162500
Ford,F-250 Lariat,2019,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,None reported,42500
Mercedes-Benz,C-Class C 300 4MATIC,2022,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,AMG Black,None reported,42999
Ford,Mustang EcoBoost Premium,2017,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,21000
Tesla,Model Y Long Range,2023,425.0HP Electric Motor Electric Fuel System,A/T,Black,None reported,52000
Lincoln,MKS EcoBoost,2016,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,21000
Cadillac,ATS 2.5L Luxury,2013,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,13600
Nissan,Leaf SL,2012,107.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,None reported,4200
Mitsubishi,Lancer Evolution MR,2006,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,37999
BMW,X5 xDrive40i,2020,3.0 Liter Turbo,Automatic,Black,None reported,57998
Chevrolet,Colorado Z85,2005,220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,7995
Volkswagen,Golf Auto TSI S,2015,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,13200
BMW,Z4 sDrive28i,2016,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,None reported,25000
Tesla,Model X Long Range,2022,670.0HP Electric Motor Electric Fuel System,A/T,Black,None reported,84000
Pontiac,Solstice GXP,2008,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,None reported,19950
Lexus,LS 430 Base,2006,278.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,At least 1 accident or damage reported,7390
Ford,Fusion SE,2014,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,10000
Subaru,BRZ Premium,2023,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,29990
Ford,Mustang GT Premium,2013,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,29000
Chevrolet,Sonic LT,2013,–,A/T,Black,None reported,7500
Volkswagen,Golf GTI 2.0T Autobahn,2022,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,41500
Chevrolet,Silverado 1500 2LT,2014,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,None reported,25500
Dodge,Durango SRT 392,2022,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,64683
Volkswagen,CC Sport,2012,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Black,At least 1 accident or damage reported,9000
MINI,Cooper Base,2009,118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,9250
Subaru,Impreza WRX Premium,2014,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,None reported,30000
Ford,Transit-350 Base,2015,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,29500
Dodge,Charger GT,2021,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,At least 1 accident or damage reported,26999
Mercedes-Benz,C-Class C300 4MATIC,2022,2.0 Liter Turbo,Automatic,Silk Beige/Black,None reported,44798
BMW,X1 xDrive28i,2020,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,29000
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,192.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,11900
Mazda,MX-5 Miata Grand Touring,2007,166.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,–,At least 1 accident or damage reported,11000
Honda,Civic Sport,2022,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,None reported,24500
Nissan,Titan SL,2021,5.6L V8 32V GDI DOHC,9-Speed Automatic,Black,None reported,32612
Ford,F-250 Limited,2018,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,A/T,Beige,None reported,64000
Tesla,Model 3 Long Range,2018,271.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,None reported,28895
INFINITI,G35 Sport,2007,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,16900
BMW,M4 Base,2018,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,None reported,64000
Dodge,Dakota SLT,2003,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,5700
Jeep,Wrangler SE,2000,120.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,None reported,11999
Honda,Civic EX,2020,174.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,None reported,26000
Chevrolet,Camaro 1SS,2022,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,51999
Mercedes-Benz,AMG GLE 63 S Coupe 4MATIC,2018,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,None reported,61000
Chevrolet,Camaro 2LT,2011,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,At least 1 accident or damage reported,14000
Mercedes-Benz,SL-Class SL63 AMG Roadster,2009,518.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,44850
Mazda,MX-5 Miata Shinsen,2003,142.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,None reported,11500
BMW,X7 xDrive40i,2021,3.0 Liter Turbo,Automatic,Tan,None reported,63598
Ford,F-150 XLT,2019,395.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,10-Speed A/T,Gray,None reported,34600
Acura,TL 3.2,2008,258.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,10000
Rivian,R1S Adventure Package,2023,835.0HP Electric Motor Electric Fuel System,A/T,Black,,94000
Porsche,Cayenne GTS Coupe AWD,2023,453.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,145000
Tesla,Model S P100D,2018,Electric,1-Speed Automatic,White,None reported,59999
Porsche,Cayenne Base,2014,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,At least 1 accident or damage reported,16975
Mercedes-Benz,CLA-Class CLA 250,2016,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,16800
Subaru,Ascent Touring 7-Passenger,2021,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,36000
BMW,X1 xDrive28i,2020,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,29500
Volkswagen,Atlas 3.6L SEL Premium,2021,3.6L V6 24V GDI DOHC,8-Speed Automatic,Titan Black / Quarzit,None reported,39127
Mercedes-Benz,GLC 300 Base 4MATIC,2018,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Black,None reported,25625
Nissan,NV200 S,2019,131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,At least 1 accident or damage reported,19500
Chevrolet,Camaro 1LT,2019,3.6L V6 GDI DOHC,8-Speed Automatic,Jet Black,None reported,27599
Mercedes-Benz,S-Class S 450,2018,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,None reported,40888
Ford,Mustang GT Premium,2010,315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,None reported,20000
Buick,Enclave Avenir,2019,3.6L V6 24V GDI DOHC,9-Speed Automatic,Ebony / Ebony Accents,None reported,26772
Cadillac,DTS Luxury II,2008,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Beige,None reported,10500
Kia,Telluride SX,2021,3.8L V6 24V GDI DOHC,8-Speed Automatic,Black,None reported,42242
Audi,A6 55 Premium,2019,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,7-Speed A/T,Black,None reported,42500
Cadillac,XT5 Luxury,2019,3.6L V6 24V GDI DOHC,8-Speed Automatic,Shara Beige,None reported,32368
BMW,650 i,2012,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Brown,None reported,38995
INFINITI,FX37 Base,2013,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,23900
Mitsubishi,Lancer Evolution GSR,2012,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,None reported,34999
BMW,750 Li,2007,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,9000
INFINITI,QX80 Base,2017,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,28500
Jeep,Wrangler Unlimited 4xe Sahara,2022,375.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Beige,None reported,49999
Hyundai,Sonata GLS,2013,198.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,None reported,11000
Volvo,XC90 Hybrid T8 R-Design,2018,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,None reported,42000
Land,Rover Range Rover 3.0L V6 Supercharged HSE,2019,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,60500
Ford,Expedition Limited,2021,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Medium Stone,None reported,59203
Ford,F-150 XLT,2012,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,At least 1 accident or damage reported,15000
Toyota,Matrix XRS,2003,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,4199
Hyundai,Palisade Limited,2020,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,37700
BMW,535 i,2008,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,5699
