brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
BMW,640 Gran Coupe i xDrive,2015,98000,Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,22500
Honda,Accord EX-L 2.0T,2019,40069,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,27500
Kia,Rio S,2021,67686,Gasoline,120.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,15700
Ford,F-250 King Ranch,2015,97700,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,–,None reported,Yes,39950
Porsche,911 Turbo S,2019,22000,Gasoline,580.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,174900
BMW,M2 Competition,2020,25013,Gasoline,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,55000
BMW,328 i xDrive,2016,65000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,19500
Ford,Expedition Limited,2018,98995,Gasoline,3.5 Liter GTDI,Automatic,Ingot Silver Metallic,Ebony,None reported,,34998
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,98000,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,15500
GMC,Yukon SLT,2018,85500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,35899
BMW,330e iPerformance,2018,45253,Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,24995
Ford,Explorer Limited,2022,17500,Hybrid,318.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,White,Black,None reported,Yes,46000
Chrysler,Pacifica Launch Edition,2020,22200,Gasoline,287.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,36800
Tesla,Model 3 Long Range,2019,27123,,425.0HP Electric Motor Electric Fuel System,A/T,Red,Black,None reported,Yes,38200
Buick,Enclave Leather,2015,68653,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,18950
Jeep,Wrangler Sport,2012,57237,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,22500
Audi,A4 2.0T Premium Plus,2015,73000,E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,Yes,17200
Kia,Optima EX,2019,68166,Gasoline,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",Automatic,Ebony Black,Black,None reported,,20818
Subaru,Impreza WRX Base,2013,113000,Gasoline,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,16000
Volkswagen,Touareg TDI Lux,2015,15167,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,Gold,Black,None reported,Yes,35000
Cadillac,Escalade Platinum,2020,48613,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,61500
Land,Rover Range Rover Sport HSE,2007,220000,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,5750
INFINITI,QX80 SENSORY,2022,26520,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Brown,At least 1 accident or damage reported,Yes,64000
BMW,Z4 3.0si,2008,59257,Gasoline,255.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,18200
Ford,F-250 XLT Super Duty,2001,64309,Gasoline,260.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,7500
BMW,X5 xDrive35i,2017,105100,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,23300
Nissan,Xterra S,2012,80000,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,14800
Chevrolet,Silverado 2500 LT,2016,84421,E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,None reported,Yes,36800
Mercedes-Benz,GL-Class GL 450,2011,93000,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,At least 1 accident or damage reported,Yes,11900
Chevrolet,Trailblazer LT,2021,50648,Gasoline,1.2L I3 12V GDI DOHC Turbo,Automatic CVT,Pacific Blue Metallic,Jet Black,None reported,,23995
Mercedes-Benz,AMG GLS 63 4MATIC,2023,2000,Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Gray,Beige,None reported,Yes,175000
MINI,Convertible John Cooper Works,2017,24280,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000
Jeep,Compass Sport,2010,179700,Gasoline,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,4500
Toyota,86 860 Special Edition,2017,87500,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,20000
Dodge,Charger SRT Hellcat Widebody,2023,5000,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,110000
Volkswagen,Atlas 3.6L SEL Premium R-Line,2022,14000,Gasoline,276.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,46900
Audi,S4 3.0 Prestige,2012,38718,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,31000
Jeep,Grand Cherokee Laredo,2012,166000,E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,At least 1 accident or damage reported,Yes,13000
Honda,Civic Sport,2020,23131,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,Crystal Black Pearl,Black,At least 1 accident or damage reported,,23739
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,62000
Toyota,4Runner Sport,2004,220450,Gasoline,245.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,8550
Rivian,R1S Launch Edition,2023,299,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Blue,Gray,None reported,Yes,92500
Mercedes-Benz,E-Class E 350 4MATIC,2014,89563,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,18995
INFINITI,Q60 3.0T Premium,2017,107380,Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,17500
Pontiac,Solstice Base,2007,62310,Gasoline,177.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,12900
Land,Rover Range Rover Sport First Edition,2023,3534,Hybrid,4.4 Liter,Automatic,Red,Black,None reported,,143998
Porsche,Macan S,2022,20250,Gasoline,375.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,68500
Audi,Q5 Premium,2023,2425,Hybrid,2.0 Liter TFSI,Automatic,Mythos Black,–,None reported,,42998
Hyundai,Tucson Limited,2008,149000,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Gray,None reported,Yes,3850
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,32500,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,43500
GMC,Sierra 1500 Limited Elevation,2022,24900,Gasoline,310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,49900
Ford,Bronco,2021,3596,Gasoline,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Blue,Black Onyx,None reported,,56900
Ford,Expedition Max Limited,2022,26500,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,65900
Cadillac,CTS-V Base,2006,123000,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,15000
Jeep,Liberty Limited,2010,107000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,5900
Mercedes-Benz,S-Class S 550,2016,78101,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,34500
Dodge,Dakota Sport,2002,150000,Gasoline,175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Gray,At least 1 accident or damage reported,Yes,5500
Cadillac,Escalade Premium Luxury,2017,55000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,49900
Audi,R8 Base,2008,49000,Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,63000
Hummer,H2 Base,2005,145000,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Green,Black,None reported,Yes,22500
Ford,Mustang Shelby GT500,2013,16478,Gasoline,650.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,66400
Kia,Niro Plug-In Hybrid EX,2023,9400,Plug-In Hybrid,180.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Black,Black,None reported,Yes,31500
Ford,Focus RS Base,2017,26000,Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,37000
Porsche,Boxster S,2005,95170,Gasoline,280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Gray,None reported,Yes,24900
Toyota,Supra A91-MT Edition,2023,1500,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Orange,None reported,Yes,84900
Audi,A4 2.0T Premium,2012,125000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,10500
Audi,SQ5 3.0T Prestige,2019,48500,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,43500
Mercedes-Benz,G-Class G 550 4MATIC,2016,51354,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,73000
Ford,Escape SE,2015,54357,Gasoline,173.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,None reported,Yes,16250
Ford,F-250 Lariat,2017,72128,E85 Flex Fuel,6.2L V8 16V MPFI SOHC Flexible Fuel,6-Speed Automatic,White,Camel,,,45985
Chevrolet,Colorado ZR2,2019,38900,Gasoline,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,34700
Jeep,Grand Wagoneer Series III,2022,31112,Gasoline,471.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,83000
Tesla,Model 3 Standard Range Plus,2021,21600,,271.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,31000
Chevrolet,Express 2500 Work Van,2012,140500,E85 Flex Fuel,324.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,11800
Kia,Optima EX,2012,152520,Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,10900
Lexus,ES 350 Base,2016,39700,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,25500
Chevrolet,Colorado ZR2,2021,24915,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Satin Steel Metallic,Jet Black,None reported,,44791
Maserati,Ghibli S Q4 GranSport,2020,25721,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Nero,None reported,Yes,52645
Subaru,Crosstrek 2.0i Limited,2018,84054,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Black,None reported,Yes,21499
Audi,RS 7 4.0T Prestige,2016,64800,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,None reported,Yes,50000
Mazda,Mazda6 i Grand Touring,2016,83100,–,–,A/T,White,White,None reported,Yes,17800
Audi,Q8 55 Premium,2020,34300,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Brown,None reported,Yes,52500
Lexus,GX 470 Base,2005,198000,Gasoline,270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,15500
Ford,Mustang Mach-E Premium,2022,5800,,346.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,White,None reported,Yes,42500
Audi,RS 7 4.0T,2022,4100,Hybrid,591.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Blue,Black,None reported,Yes,162500
Ford,F-250 Lariat,2019,80200,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Black,None reported,Yes,42500
Mercedes-Benz,C-Class C 300 4MATIC,2022,8583,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Cirrus Silver Metallic,AMG Black,None reported,,42999
Ford,Mustang EcoBoost Premium,2017,59500,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,21000
Tesla,Model Y Long Range,2023,5844,,425.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,52000
Lincoln,MKS EcoBoost,2016,38100,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,None reported,Yes,21000
Cadillac,ATS 2.5L Luxury,2013,225000,Gasoline,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,13600
Nissan,Leaf SL,2012,102000,,107.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,Gray,None reported,Yes,4200
Mitsubishi,Lancer Evolution MR,2006,128000,Gasoline,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,37999
BMW,X5 xDrive40i,2020,4880,Gasoline,3.0 Liter Turbo,Automatic,White,Black,None reported,,57998
Chevrolet,Colorado Z85,2005,155000,Gasoline,220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,7995
Volkswagen,Golf Auto TSI S,2015,107543,Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,13200
BMW,Z4 sDrive28i,2016,59000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,25000
Tesla,Model X Long Range,2022,7500,,670.0HP Electric Motor Electric Fuel System,A/T,Silver,Black,None reported,Yes,84000
Pontiac,Solstice GXP,2008,38100,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Orange,Black,None reported,Yes,19950
Lexus,LS 430 Base,2006,192000,Gasoline,278.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,7390
Ford,Fusion SE,2014,80800,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,10000
Subaru,BRZ Premium,2023,5800,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,29990
Ford,Mustang GT Premium,2013,18000,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,29000
Chevrolet,Sonic LT,2013,110000,–,–,A/T,Gray,Black,None reported,Yes,7500
Volkswagen,Golf GTI 2.0T Autobahn,2022,6400,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,41500
Chevrolet,Silverado 1500 2LT,2014,102604,E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,Gray,None reported,Yes,25500
Dodge,Durango SRT 392,2022,31917,Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,64683
Volkswagen,CC Sport,2012,131986,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,White,Black,At least 1 accident or damage reported,Yes,9000
MINI,Cooper Base,2009,90367,Gasoline,118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,9250
Subaru,Impreza WRX Premium,2014,55000,Gasoline,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,White,Black,None reported,Yes,30000
Ford,Transit-350 Base,2015,112000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,29500
Dodge,Charger GT,2021,33000,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Gray,At least 1 accident or damage reported,Yes,26999
Mercedes-Benz,C-Class C300 4MATIC,2022,13177,Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,None reported,,44798
BMW,X1 xDrive28i,2020,27989,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,29000
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,33272,Gasoline,192.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,11900
Mazda,MX-5 Miata Grand Touring,2007,81400,Gasoline,166.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,–,At least 1 accident or damage reported,Yes,11000
Honda,Civic Sport,2022,25420,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Red,Gray,None reported,Yes,24500
Nissan,Titan SL,2021,95993,Gasoline,5.6L V8 32V GDI DOHC,9-Speed Automatic,White,Black,None reported,Yes,32612
Ford,F-250 Limited,2018,64000,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,A/T,Red,Beige,None reported,Yes,64000
Tesla,Model 3 Long Range,2018,36187,,271.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Black,None reported,Yes,28895
INFINITI,G35 Sport,2007,37100,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,16900
BMW,M4 Base,2018,19300,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Silver,None reported,Yes,64000
Dodge,Dakota SLT,2003,141800,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,5700
Jeep,Wrangler SE,2000,95200,Gasoline,120.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,11999
Honda,Civic EX,2020,13935,Gasoline,174.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Black,None reported,Yes,26000
