brand,model,model_year,milage,fuel_type,ext_col,int_col,price
Dodge,Dakota Sport,2002,"150,000 mi.",Gasoline,Black,Gray,5500
Cadillac,Escalade Premium Luxury,2017,"55,000 mi.",Gasoline,White,Beige,49900
Audi,R8 Base,2008,"49,000 mi.",Gasoline,Black,Black,63000
Hummer,H2 Base,2005,"145,000 mi.",Gasoline,Green,Black,22500
Ford,Mustang Shelby GT500,2013,"16,478 mi.",Gasoline,White,Black,66400
Kia,Niro Plug-In Hybrid EX,2023,"9,400 mi.",Plug-In Hybrid,Black,Black,31500
Ford,Focus RS Base,2017,"26,000 mi.",Gasoline,Gray,Black,37000
Porsche,Boxster S,2005,"95,170 mi.",Gasoline,Blue,Gray,24900
Toyota,Supra A91-MT Edition,2023,"1,500 mi.",Gasoline,Gray,Orange,84900
Audi,A4 2.0T Premium,2012,"125,000 mi.",Gasoline,Black,Black,10500
Audi,SQ5 3.0T Prestige,2019,"48,500 mi.",Gasoline,Gray,Black,43500
Mercedes-Benz,G-Class G 550 4MATIC,2016,"51,354 mi.",Gasoline,Blue,Black,73000
Ford,Escape SE,2015,"54,357 mi.",Gasoline,White,Gray,16250
Ford,F-250 Lariat,2017,"72,128 mi.",E85 Flex Fuel,White,Camel,45985
Chevrolet,Colorado ZR2,2019,"38,900 mi.",Gasoline,White,Black,34700
Jeep,Grand Wagoneer Series III,2022,"31,112 mi.",Gasoline,Black,Black,83000
Tesla,Model 3 Standard Range Plus,2021,"21,600 mi.",,White,Black,31000
Chevrolet,Express 2500 Work Van,2012,"140,500 mi.",E85 Flex Fuel,White,Gray,11800
Kia,Optima EX,2012,"152,520 mi.",Gasoline,White,Beige,10900
Lexus,ES 350 Base,2016,"39,700 mi.",Gasoline,White,Beige,25500
Chevrolet,Colorado ZR2,2021,"24,915 mi.",Gasoline,Satin Steel Metallic,Jet Black,44791
Maserati,Ghibli S Q4 GranSport,2020,"25,721 mi.",Gasoline,Blu,Nero,52645
Subaru,Crosstrek 2.0i Limited,2018,"84,054 mi.",Gasoline,Gray,Black,21499
Audi,RS 7 4.0T Prestige,2016,"64,800 mi.",Gasoline,White,Brown,50000
Mazda,Mazda6 i Grand Touring,2016,"83,100 mi.",–,White,White,17800
Audi,Q8 55 Premium,2020,"34,300 mi.",Hybrid,Gray,Brown,52500
Lexus,GX 470 Base,2005,"198,000 mi.",Gasoline,Gray,Gray,15500
Ford,Mustang Mach-E Premium,2022,"5,800 mi.",,White,White,42500
Audi,RS 7 4.0T,2022,"4,100 mi.",Hybrid,Blue,Black,162500
Ford,F-250 Lariat,2019,"80,200 mi.",E85 Flex Fuel,White,Black,42500
Mercedes-Benz,C-Class C 300 4MATIC,2022,"8,583 mi.",Gasoline,Cirrus Silver Metallic,AMG Black,42999
Ford,Mustang EcoBoost Premium,2017,"59,500 mi.",Gasoline,Black,Black,21000
Tesla,Model Y Long Range,2023,"5,844 mi.",,White,Black,52000
Lincoln,MKS EcoBoost,2016,"38,100 mi.",Gasoline,Silver,Beige,21000
Cadillac,ATS 2.5L Luxury,2013,"225,000 mi.",Gasoline,Blue,Black,13600
Nissan,Leaf SL,2012,"102,000 mi.",,Silver,Gray,4200
Mitsubishi,Lancer Evolution MR,2006,"128,000 mi.",Gasoline,Silver,Black,37999
BMW,X5 xDrive40i,2020,"4,880 mi.",Gasoline,White,Black,57998
Chevrolet,Colorado Z85,2005,"155,000 mi.",Gasoline,Blue,Gray,7995
Volkswagen,Golf Auto TSI S,2015,"107,543 mi.",Gasoline,Black,Black,13200
BMW,Z4 sDrive28i,2016,"59,000 mi.",Gasoline,Black,Beige,25000
Tesla,Model X Long Range,2022,"7,500 mi.",,Silver,Black,84000
Pontiac,Solstice GXP,2008,"38,100 mi.",Gasoline,Orange,Black,19950
Lexus,LS 430 Base,2006,"192,000 mi.",Gasoline,Silver,Gray,7390
Ford,Fusion SE,2014,"80,800 mi.",Gasoline,Blue,Beige,10000
Subaru,BRZ Premium,2023,"5,800 mi.",Gasoline,Black,Black,29990
Ford,Mustang GT Premium,2013,"18,000 mi.",Gasoline,Silver,Black,29000
Chevrolet,Sonic LT,2013,"110,000 mi.",–,Gray,Black,7500
Volkswagen,Golf GTI 2.0T Autobahn,2022,"6,400 mi.",Gasoline,Green,Black,41500
Chevrolet,Silverado 1500 2LT,2014,"102,604 mi.",E85 Flex Fuel,Gray,Gray,25500
Dodge,Durango SRT 392,2022,"31,917 mi.",Gasoline,Gray,Black,64683
Volkswagen,CC Sport,2012,"131,986 mi.",Gasoline,White,Black,9000
MINI,Cooper Base,2009,"90,367 mi.",Gasoline,Red,Black,9250
Subaru,Impreza WRX Premium,2014,"55,000 mi.",Gasoline,White,Black,30000
Ford,Transit-350 Base,2015,"112,000 mi.",Gasoline,White,Gray,29500
Dodge,Charger GT,2021,"33,000 mi.",Gasoline,White,Gray,26999
Mercedes-Benz,C-Class C300 4MATIC,2022,"13,177 mi.",Gasoline,White,Silk Beige/Black,44798
BMW,X1 xDrive28i,2020,"27,989 mi.",Gasoline,Gray,Black,29000
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,"33,272 mi.",Gasoline,Red,Gray,11900
Mazda,MX-5 Miata Grand Touring,2007,"81,400 mi.",Gasoline,Red,–,11000
Honda,Civic Sport,2022,"25,420 mi.",Gasoline,Red,Gray,24500
Nissan,Titan SL,2021,"95,993 mi.",Gasoline,White,Black,32612
Ford,F-250 Limited,2018,"64,000 mi.",Diesel,Red,Beige,64000
Tesla,Model 3 Long Range,2018,"36,187 mi.",,White,Black,28895
INFINITI,G35 Sport,2007,"37,100 mi.",Gasoline,Gray,Black,16900
BMW,M4 Base,2018,"19,300 mi.",Gasoline,White,Silver,64000
Dodge,Dakota SLT,2003,"141,800 mi.",Gasoline,Red,Gray,5700
Jeep,Wrangler SE,2000,"95,200 mi.",Gasoline,Black,Black,11999
Honda,Civic EX,2020,"13,935 mi.",Gasoline,Gray,Black,26000
Chevrolet,Camaro 1SS,2022,"6,640 mi.",Gasoline,Orange,Black,51999
Mercedes-Benz,AMG GLE 63 S Coupe 4MATIC,2018,"71,500 mi.",Gasoline,White,White,61000
Chevrolet,Camaro 2LT,2011,"126,700 mi.",Gasoline,White,Beige,14000
Mercedes-Benz,SL-Class SL63 AMG Roadster,2009,"56,000 mi.",Gasoline,Black,Black,44850
Mazda,MX-5 Miata Shinsen,2003,"46,873 mi.",Gasoline,Gray,Blue,11500
BMW,X7 xDrive40i,2021,"30,309 mi.",Hybrid,Blue,Tan,63598
Ford,F-150 XLT,2019,"69,800 mi.",E85 Flex Fuel,Silver,Gray,34600
Acura,TL 3.2,2008,"193,783 mi.",Gasoline,Black,Black,10000
Rivian,R1S Adventure Package,2023,250 mi.,,Red,Black,94000
Porsche,Cayenne GTS Coupe AWD,2023,"10,000 mi.",Gasoline,Gray,Black,145000
Tesla,Model S P100D,2018,"10,065 mi.",,Red Multi,White,59999
Porsche,Cayenne Base,2014,"117,697 mi.",Gasoline,Black,Black,16975
Mercedes-Benz,CLA-Class CLA 250,2016,"88,600 mi.",Gasoline,Black,Black,16800
Subaru,Ascent Touring 7-Passenger,2021,"32,250 mi.",Gasoline,Black,Black,36000
BMW,X1 xDrive28i,2020,"18,200 mi.",Gasoline,White,Beige,29500
Volkswagen,Atlas 3.6L SEL Premium,2021,"36,311 mi.",Gasoline,Deep Black Pearl Effect,Titan Black / Quarzit,39127
Mercedes-Benz,GLC 300 Base 4MATIC,2018,"44,486 mi.",Gasoline,Gray,Black,25625
Nissan,NV200 S,2019,"52,000 mi.",Gasoline,Black,Gray,19500
Chevrolet,Camaro 1LT,2019,"9,111 mi.",Gasoline,Summit White,Jet Black,27599
Mercedes-Benz,S-Class S 450,2018,"69,600 mi.",Gasoline,Black,Black,40888
Ford,Mustang GT Premium,2010,"69,000 mi.",Gasoline,White,Black,20000
Buick,Enclave Avenir,2019,"121,521 mi.",Gasoline,Dark Slate Metallic,Ebony / Ebony Accents,26772
Cadillac,DTS Luxury II,2008,"94,155 mi.",Gasoline,White,Beige,10500
Kia,Telluride SX,2021,"38,612 mi.",Gasoline,Ebony Black,Black,42242
Audi,A6 55 Premium,2019,"10,832 mi.",Hybrid,Black,Black,42500
Cadillac,XT5 Luxury,2019,"44,692 mi.",Gasoline,Bronze Dune Metallic,Shara Beige,32368
BMW,650 i,2012,"39,960 mi.",Gasoline,White,Brown,38995
INFINITI,FX37 Base,2013,"51,500 mi.",Gasoline,Gray,Black,23900
Mitsubishi,Lancer Evolution GSR,2012,"33,000 mi.",Gasoline,Black,Black,34999
BMW,750 Li,2007,"114,528 mi.",Gasoline,Black,Black,9000
INFINITI,QX80 Base,2017,"121,525 mi.",Gasoline,Black,Black,28500
Jeep,Wrangler Unlimited 4xe Sahara,2022,"10,500 mi.",Plug-In Hybrid,Green,Beige,49999
Hyundai,Sonata GLS,2013,"136,991 mi.",Gasoline,Gray,Gray,11000
Volvo,XC90 Hybrid T8 R-Design,2018,"40,000 mi.",Plug-In Hybrid,Black,Black,42000
Land,Rover Range Rover 3.0L V6 Supercharged HSE,2019,"41,200 mi.",Gasoline,Black,Black,60500
Ford,Expedition Limited,2021,"23,842 mi.",Gasoline,Gray,Medium Stone,59203
Ford,F-150 XLT,2012,"207,100 mi.",Gasoline,Black,Gray,15000
Toyota,Matrix XRS,2003,"143,600 mi.",Gasoline,Black,Black,4199
Hyundai,Palisade Limited,2020,"45,815 mi.",Gasoline,Silver,Black,37700
BMW,535 i,2008,"135,000 mi.",Gasoline,Silver,Black,5699
Cadillac,Escalade Base,2007,"150,000 mi.",Gasoline,White,Beige,9999
Jaguar,XK8 Base,2000,"40,000 mi.",Gasoline,Blue,Beige,15400
Jeep,Wrangler Sport,2000,"122,945 mi.",Gasoline,Beige,Brown,13900
BMW,X3 M40i,2019,"36,438 mi.",Gasoline,Alpine White,Oyster W/Contrast,39998
Toyota,Sequoia Limited,2011,"183,000 mi.",Gasoline,Gold,Beige,16000
Lexus,LC 500 Base,2018,"37,000 mi.",Gasoline,Black,Red,63997
Ford,Mustang Base,2008,"119,000 mi.",Gasoline,White,Black,13500
BMW,i3 120Ah w/Range Extender,2019,"16,975 mi.",,Black,Black,26990
Maserati,Ghibli S Q4,2015,"28,700 mi.",Gasoline,White,Red,24900
Nissan,Pathfinder SL,2015,"115,000 mi.",Gasoline,Gray,Black,11995
Mercedes-Benz,CLK-Class CLK 350,2008,"73,000 mi.",Gasoline,Black,Black,8400
Kia,Stinger GT2,2020,"57,000 mi.",Gasoline,Black,Red,36500
Porsche,911 Turbo Cabriolet,2009,"13,500 mi.",Gasoline,Gray,Black,130000
BMW,X6 xDrive50i,2017,"78,500 mi.",Gasoline,Red,Brown,42000
BMW,ALPINA B7 Base,2013,"36,750 mi.",Gasoline,Black,Black,35999
RAM,1500 Rebel,2019,"46,000 mi.",Hybrid,White,–,37900
Genesis,G90 5.0 Ultimate,2017,"26,000 mi.",Gasoline,White,Beige,33600
Bentley,Arnage R,2003,"55,050 mi.",Gasoline,Gray,Gray,34995
Ford,Bronco Base,2022,"6,200 mi.",Gasoline,Black,Black,49000
Lexus,LS 430 Base,2002,"42,000 mi.",Gasoline,Silver,Gray,15999
Mercedes-Benz,E-Class E 350,2016,"58,375 mi.",Gasoline,White,Beige,24999
Chevrolet,Corvette Stingray w/1LT,2021,"10,400 mi.",Gasoline,Silver,Black,72900
BMW,525 i,2005,"91,420 mi.",Gasoline,Black,Black,8900
Mercedes-Benz,AMG C 63 Base,2017,"28,399 mi.",Gasoline,Gray,Black,55600
Porsche,718 Cayman GT4,2020,"13,554 mi.",Gasoline,Blue,Black,124995
Genesis,GV80 2.5T,2022,"7,523 mi.",Gasoline,Black,Black,54543
Porsche,Cayenne S,2015,"124,000 mi.",Gasoline,White,Beige,25000
BMW,528 i xDrive,2016,"134,000 mi.",Gasoline,Brown,Brown,13500
Tesla,Model Y Long Range,2021,"61,308 mi.",,White,White,42000
BMW,M4 CS,2019,"19,069 mi.",Gasoline,Alpine White,Anthracite,69998
Toyota,FJ Cruiser Base,2014,"92,000 mi.",Gasoline,Beige,Black,27500
Chevrolet,Traverse RS,2021,"44,373 mi.",Gasoline,Silver,Black,36000
Lexus,SC 430 Base,2002,"89,500 mi.",Gasoline,Black,Black,15999
Tesla,Model X Long Range Plus,2020,"43,534 mi.",,Black,Black,65990
Alfa,Romeo Stelvio Ti Sport,2020,"18,665 mi.",Gasoline,Lunare White Metallic,Ice,35645
Lexus,RC 350 Base,2016,"77,856 mi.",Gasoline,Atomic Silver,Black,30919
Nissan,350Z Enthusiast,2007,"117,000 mi.",Gasoline,Silver,Black,9975
Subaru,Crosstrek 2.0i Premium,2017,"50,011 mi.",Gasoline,Red,Beige,21495
Mercedes-Benz,SL-Class SL600 Roadster,2007,"78,200 mi.",Gasoline,Black,Brown,22999
Tesla,Model Y Long Range,2021,"69,548 mi.",,Black,Black,36300
Chevrolet,Suburban 1500 LTZ,2010,"162,671 mi.",E85 Flex Fuel,Black,Black,12000
Mercedes-Benz,Sprinter 2500 Standard Roof,2022,"4,590 mi.",Gasoline,White,Black,64000
Ford,Explorer XLT,2020,"42,609 mi.",Gasoline,Magnetic Metallic,Ebony,32107
Dodge,Durango SRT,2020,"36,000 mi.",Gasoline,Gray,Red,62000
Lexus,RX 350 Base,2021,"5,040 mi.",Gasoline,Beige,Beige,48900
Mercedes-Benz,Maybach S S 600,2016,"108,500 mi.",Gasoline,White,Beige,63500
BMW,M3 Base,2002,"60,255 mi.",Gasoline,Yellow,Black,28750
Dodge,Durango GT,2021,"14,684 mi.",Gasoline,DB Black Clearcoat,Black,37995
Cadillac,Escalade Premium Luxury,2021,"11,459 mi.",Gasoline,White,Brown,88900
Ford,Expedition Max XLT,2018,"105,674 mi.",Gasoline,White,Beige,34995
Cadillac,CTS Premium,2013,"105,000 mi.",Gasoline,Black,Black,12000
Chevrolet,Blazer 1LT,2019,"37,161 mi.",Gasoline,Nightfall Gray Metallic,Jet Black,26990
BMW,X5 xDrive40e,2016,"91,798 mi.",Hybrid,Alpine White,Black,22998
Lincoln,Navigator Reserve,2020,"68,000 mi.",Gasoline,Black,Gray,55999
Honda,S2000 Base,2000,"26,900 mi.",Gasoline,Silver,Red,35000
BMW,M240 i,2018,"61,000 mi.",Gasoline,Blue,Black,34000
Jeep,Gladiator Rubicon,2022,"8,794 mi.",Gasoline,White,Black,54000
Mitsubishi,Lancer DE,2009,"143,346 mi.",Gasoline,Black,Black,3000
BMW,M4 Base,2015,"23,700 mi.",Gasoline,Black,Black,42800
Ford,F-150 Raptor,2021,"32,957 mi.",Gasoline,Oxford White,Black,77900
Ford,F-350 Lariat,2015,"162,000 mi.",Diesel,Red,Beige,32000
Pontiac,Solstice GXP,2007,"7,800 mi.",Gasoline,Silver,Black,19000
Chevrolet,Corvette Z06,2006,"21,000 mi.",Gasoline,Silver,Black,47500
Acura,MDX 3.5L Technology Package,2014,"111,650 mi.",Gasoline,Green,Beige,17500
Dodge,Dakota Big Horn/Lone Star,2010,"172,024 mi.",Gasoline,Red,Brown,7500
Hyundai,Veloster Turbo R-Spec,2014,"128,000 mi.",Gasoline,Blue,Red,11000
Porsche,Macan S,2016,"50,000 mi.",Gasoline,Blue,Red,36000
Ford,Explorer XLT,2014,"127,558 mi.",Gasoline,Green,Charcoal Black,13715
Chrysler,300C Base,2013,"87,500 mi.",Gasoline,White,Beige,13750
BMW,X5 xDrive35i,2014,"143,250 mi.",Gasoline,Black,White,12999
BMW,335 is,2012,"86,629 mi.",Gasoline,White,Red,20995
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,"9,408 mi.",Hybrid,Black,Gray,61999
Chevrolet,Silverado 1500 RST,2020,"19,200 mi.",Gasoline,Gray,Black,69999
BMW,M5 Base,2018,"20,500 mi.",Gasoline,Silver,Black,67000
Honda,Accord Hybrid Base,2021,"33,523 mi.",Hybrid,Lunar Silver Metallic,Gray,28748
Cadillac,CTS 2.0L Turbo Luxury,2019,"20,296 mi.",Gasoline,Red Obsession,Very Light Cashmere,30599
Tesla,Model Y Performance,2022,"24,115 mi.",,Gray,White,46500
Hyundai,Genesis 4.6,2010,"153,332 mi.",Gasoline,Silver,Black,10000
Jaguar,E-PACE 300 Sport,2021,"23,600 mi.",Hybrid,Black,Black,42999
Jeep,Grand Cherokee Laredo,2011,"98,658 mi.",Gasoline,White,Gray,14995
Mercedes-Benz,AMG E 63 S 4MATIC,2019,"17,000 mi.",Gasoline,White,Brown,95000
Toyota,Land Cruiser Base,2008,"175,000 mi.",Gasoline,Black,Beige,37900
Mercedes-Benz,C-Class C 300 4MATIC Sport,2015,"73,500 mi.",Gasoline,White,Black,19000
BMW,M3 Base,2006,"95,450 mi.",Gasoline,Gray,Gray,42000
RAM,1500 Big Horn,2022,"11,468 mi.",Gasoline,Bright White Clearcoat,Black,50204
Hyundai,Accent GLS,2014,"127,941 mi.",Gasoline,Silver,Gray,7500
BMW,335 is,2011,"82,000 mi.",Gasoline,Gray,Black,20000
Toyota,Camry Solara SLE,2008,"73,000 mi.",Gasoline,Blue,Beige,11500
Ford,F-250 Lariat,2017,"50,780 mi.",Diesel,White,Black,61000
Cadillac,Escalade ESV Premium Luxury,2021,"53,169 mi.",Gasoline,Black,Black,81500
Hyundai,Sonata Hybrid Base,2012,"154,000 mi.",Hybrid,Green,Gray,8500
Kia,Forte GT-Line,2021,"24,534 mi.",Gasoline,White,Black,21900
Nissan,350Z NISMO,2008,"76,500 mi.",Gasoline,Silver,Red,28000
Porsche,718 Cayman GTS,2018,"16,280 mi.",Gasoline,Red,Black,85500
Subaru,Forester 2.5 X,2004,"210,703 mi.",Gasoline,Green,Beige,2300
Jaguar,F-PACE SVR,2020,"38,800 mi.",Gasoline,Black,Black,57500
Ford,F-250 XLT,2017,"244,000 mi.",Diesel,Red,Beige,35500
Nissan,Armada Platinum,2018,"108,206 mi.",Gasoline,White,Charcoal,26498
Lincoln,Mark LT Base,2006,"87,500 mi.",Gasoline,Silver,Black,12999
RAM,1500 Longhorn,2019,"76,249 mi.",Gasoline,Diamond Black,Mountain Brown,40995
Mercedes-Benz,SL-Class SL500 Roadster,2004,"46,000 mi.",Gasoline,White,Gray,18853
Audi,Q5 S line Premium Plus,2022,"13,895 mi.",Hybrid,Daytona Gray,Black,44998
MINI,Cooper S Base,2006,"99,600 mi.",Gasoline,Orange,Black,5500
RAM,1500 Laramie,2022,"34,121 mi.",Gasoline,Granite Crystal Clearcoat Metallic,Black,48190
Mercedes-Benz,E-Class E 350 4MATIC,2009,"171,000 mi.",Gasoline,Black,Black,4750
Land,Rover Range Rover Sport HSE,2013,"111,000 mi.",Gasoline,Black,Black,15000
Chrysler,Town & Country LX,2009,"73,500 mi.",Gasoline,Silver,Gray,7858
Mercedes-Benz,SL-Class SL 550,2014,"127,500 mi.",Gasoline,White,White,29000
BMW,i8 Base,2015,"51,000 mi.",Plug-In Hybrid,Gray,Brown,53000
Toyota,Camry XSE,2022,"19,361 mi.",Gasoline,Red,Black,38298
RAM,1500 Rebel,2020,"57,300 mi.",Gasoline,Black,Black,43500
Chevrolet,Silverado 2500 LTZ H/D Extended Cab,2008,"128,000 mi.",Gasoline,Beige,Black,23500
Jeep,Wrangler Sport,2002,"103,500 mi.",Gasoline,Yellow,Gray,12500
