brand,model,model_year,milage,fuel_type,ext_col,int_col,price
Honda,Civic Sport,2020,23131,Gasoline,Crystal Black Pearl,Black,23739
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,Black,Brown,62000
Toyota,4Runner Sport,2004,220450,Gasoline,Gray,Gray,8550
Rivian,R1S Launch Edition,2023,299,,Blue,Gray,92500
Mercedes-Benz,E-Class E 350 4MATIC,2014,89563,Gasoline,Blue,Black,18995
INFINITI,Q60 3.0T Premium,2017,107380,Gasoline,Black,Gray,17500
Pontiac,Solstice Base,2007,62310,Gasoline,Gray,Black,12900
Land,Rover Range Rover Sport First Edition,2023,3534,Hybrid,Red,Black,143998
Porsche,Macan S,2022,20250,Gasoline,White,Beige,68500
Audi,Q5 Premium,2023,2425,Hybrid,Mythos Black,–,42998
Hyundai,Tucson Limited,2008,149000,Gasoline,Black,Gray,3850
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,32500,Gasoline,Black,Black,43500
GMC,Sierra 1500 Limited Elevation,2022,24900,Gasoline,Black,Black,49900
Ford,Bronco,2021,3596,Gasoline,Blue,Black Onyx,56900
Ford,Expedition Max Limited,2022,26500,Gasoline,White,Beige,65900
Cadillac,CTS-V Base,2006,123000,Gasoline,Black,Black,15000
Jeep,Liberty Limited,2010,107000,Gasoline,Gray,Gray,5900
Mercedes-Benz,S-Class S 550,2016,78101,Gasoline,Black,Black,34500
Dodge,Dakota Sport,2002,150000,Gasoline,Black,Gray,5500
Cadillac,Escalade Premium Luxury,2017,55000,Gasoline,White,Beige,49900
Audi,R8 Base,2008,49000,Gasoline,Black,Black,63000
Hummer,H2 Base,2005,145000,Gasoline,Green,Black,22500
